,Round,PlayerName,Group,Bonus,Result
0,0,tram,--,--,100
1,1_1,tram,660,20,120
2,1_2,tram,750,20,140
3,1_3,tram,660,20,160
4,1_4,tram,750,20,180
5,1_5,tram,750,20,200
6,1_6,tram,660,20,220
7,2_1,tram,732,2,222
8,2_2,tram,552,1,223
9,2_3,tram,552,1,224
10,2_4,tram,651,1,225
11,2_5,tram,642,1,226
12,2_6,tram,633,1,227
13,3_1,tram,444,1,228
14,3_2,tram,642,1,229
15,3_3,tram,642,1,230
16,3_4,tram,633,1,231
17,3_5,tram,633,1,232
18,3_6,tram,633,1,233
19,4_1,tram,543,-5,228
20,4_2,tram,543,-5,223
21,4_3,tram,543,-5,218
22,4_4,tram,543,-5,213
23,4_5,tram,543,-5,208
24,4_6,tram,543,-5,203
25,5_1,tram,543,-5,198
26,5_2,tram,543,-5,193
27,5_3,tram,543,-5,188
28,5_4,tram,543,-5,183
29,5_5,tram,543,-5,178
30,5_6,tram,543,-5,173
31,6_1,tram,543,-5,168
32,6_2,tram,633,1,169
33,6_3,tram,543,-5,164
34,6_4,tram,444,1,165
35,6_5,tram,543,-5,160
36,6_6,tram,642,1,161
37,7_1,tram,543,-5,156
38,7_2,tram,642,1,157
39,7_3,tram,543,-5,152
40,7_4,tram,543,-5,147
41,7_5,tram,552,1,148
42,7_6,tram,543,-5,143
43,8_1,tram,444,1,144
44,8_2,tram,543,-5,139
45,8_3,tram,552,1,140
46,8_4,tram,642,1,141
47,8_5,tram,543,-5,136
48,8_6,tram,543,-5,131
49,9_1,tram,444,1,132
50,9_2,tram,543,-5,127
51,9_3,tram,543,-5,122
52,9_4,tram,543,-5,117
53,9_5,tram,543,-5,112
54,9_6,tram,543,-5,107
55,10_1,tram,543,-5,102
56,10_2,tram,543,-5,97
57,10_3,tram,543,-5,92
58,10_4,tram,552,1,93
59,10_5,tram,633,1,94
60,10_6,tram,444,1,95
61,11_1,tram,822,10,105
62,11_2,tram,822,10,115
63,11_3,tram,831,10,125
64,11_4,tram,822,10,135
65,11_5,tram,660,20,155
66,11_6,tram,822,10,165
67,12_1,tram,552,1,166
68,12_2,tram,552,1,167
69,12_3,tram,642,1,168
70,12_4,tram,651,1,169
71,12_5,tram,732,2,171
72,12_6,tram,642,1,172
73,13_1,tram,651,1,173
74,13_2,tram,633,1,174
75,13_3,tram,651,1,175
76,13_4,tram,633,1,176
77,13_5,tram,642,1,177
78,13_6,tram,633,1,178
79,14_1,tram,543,-5,173
80,14_2,tram,543,-5,168
81,14_3,tram,543,-5,163
82,14_4,tram,543,-5,158
83,14_5,tram,543,-5,153
84,14_6,tram,543,-5,148
85,15_1,tram,543,-5,143
86,15_2,tram,543,-5,138
87,15_3,tram,543,-5,133
88,15_4,tram,543,-5,128
89,15_5,tram,543,-5,123
90,15_6,tram,543,-5,118
91,16_1,tram,642,1,119
92,16_2,tram,543,-5,114
93,16_3,tram,642,1,115
94,16_4,tram,651,1,116
95,16_5,tram,633,1,117
96,16_6,tram,543,-5,112
97,17_1,tram,552,1,113
98,17_2,tram,543,-5,108
99,17_3,tram,633,1,109
100,17_4,tram,444,1,110
101,17_5,tram,552,1,111
102,17_6,tram,543,-5,106
103,18_1,tram,543,-5,101
104,18_2,tram,552,1,102
105,18_3,tram,543,-5,97
106,18_4,tram,633,1,98
107,18_5,tram,543,-5,93
108,18_6,tram,444,1,94
109,19_1,tram,444,1,95
110,19_2,tram,444,1,96
111,19_3,tram,732,2,98
112,19_4,tram,543,-5,93
113,19_5,tram,633,1,94
114,19_6,tram,543,-5,89
115,20_1,tram,543,-5,84
116,20_2,tram,543,-5,79
117,20_3,tram,642,1,80
118,20_4,tram,543,-5,75
119,20_5,tram,543,-5,70
120,20_6,tram,543,-5,65
