,Round,PlayerName,Group,Bonus,Result
121,21_1,tram,543,-5,60
122,21_2,tram,552,1,61
123,21_3,tram,543,-5,56
124,21_4,tram,633,1,57
125,21_5,tram,543,-5,52
126,21_6,tram,543,-5,47
127,22_1,tram,750,20,67
128,22_2,tram,840,50,117
129,22_3,tram,831,10,127
130,22_4,tram,831,10,137
131,22_5,tram,840,50,187
132,22_6,tram,750,20,207
133,23_1,tram,543,-5,202
134,23_2,tram,543,-5,197
135,23_3,tram,543,-5,192
136,23_4,tram,543,-5,187
137,23_5,tram,543,-5,182
138,23_6,tram,543,-5,177
139,24_1,tram,543,-5,172
140,24_2,tram,543,-5,167
141,24_3,tram,543,-5,162
142,24_4,tram,543,-5,157
143,24_5,tram,543,-5,152
144,24_6,tram,543,-5,147
145,25_1,tram,444,1,148
146,25_2,tram,444,1,149
147,25_3,tram,543,-5,144
148,25_4,tram,552,1,145
149,25_5,tram,642,1,146
150,25_6,tram,642,1,147
151,26_1,tram,633,1,148
152,26_2,tram,633,1,149
153,26_3,tram,633,1,150
154,26_4,tram,444,1,151
155,26_5,tram,552,1,152
156,26_6,tram,642,1,153
157,27_1,tram,543,-5,148
158,27_2,tram,552,1,149
159,27_3,tram,642,1,150
160,27_4,tram,543,-5,145
161,27_5,tram,642,1,146
162,27_6,tram,543,-5,141
163,28_1,tram,543,-5,136
164,28_2,tram,732,2,138
165,28_3,tram,543,-5,133
166,28_4,tram,543,-5,128
167,28_5,tram,444,1,129
168,28_6,tram,444,1,130
169,29_1,tram,552,1,131
170,29_2,tram,642,1,132
171,29_3,tram,543,-5,127
172,29_4,tram,543,-5,122
173,29_5,tram,732,2,124
174,29_6,tram,633,1,125
175,30_1,tram,543,-5,120
176,30_2,tram,633,1,121
177,30_3,tram,552,1,122
178,30_4,tram,552,1,123
179,30_5,tram,543,-5,118
180,30_6,tram,642,1,119
181,31_1,tram,543,-5,114
182,31_2,tram,552,1,115
183,31_3,tram,552,1,116
184,31_4,tram,642,1,117
185,31_5,tram,552,1,118
186,31_6,tram,543,-5,113
187,32_1,tram,543,-5,108
188,32_2,tram,444,1,109
189,32_3,tram,543,-5,104
190,32_4,tram,543,-5,99
191,32_5,tram,543,-5,94
192,32_6,tram,543,-5,89
193,33_1,tram,651,1,90
194,33_2,tram,543,-5,85
195,33_3,tram,732,2,87
196,33_4,tram,633,1,88
197,33_5,tram,543,-5,83
198,33_6,tram,543,-5,78
199,34_1,tram,444,1,79
200,34_2,tram,444,1,80
201,34_3,tram,642,1,81
202,34_4,tram,552,1,82
203,34_5,tram,543,-5,77
204,34_6,tram,543,-5,72
205,35_1,tram,543,-5,67
206,35_2,tram,543,-5,62
207,35_3,tram,642,1,63
208,35_4,tram,543,-5,58
209,35_5,tram,651,1,59
210,35_6,tram,543,-5,54
