,Round,PlayerName,Group,Bonus,Result
0,0,tram,--,--,100
1,1_1,tram,732,2,102
2,1_2,tram,642,1,103
3,1_3,tram,633,1,104
4,1_4,tram,543,-5,99
5,1_5,tram,633,1,100
6,1_6,tram,444,1,101
7,2_1,tram,444,1,102
8,2_2,tram,543,-5,97
9,2_3,tram,543,-5,92
10,2_4,tram,444,1,93
11,2_5,tram,543,-5,88
12,2_6,tram,543,-5,83
13,3_1,tram,543,-5,78
14,3_2,tram,651,1,79
15,3_3,tram,642,1,80
16,3_4,tram,444,1,81
17,3_5,tram,633,1,82
18,3_6,tram,552,1,83
19,4_1,tram,543,-5,78
20,4_2,tram,444,1,79
21,4_3,tram,642,1,80
22,4_4,tram,543,-5,75
23,4_5,tram,543,-5,70
24,4_6,tram,543,-5,65
25,5_1,tram,633,1,66
26,5_2,tram,642,1,67
27,5_3,tram,444,1,68
28,5_4,tram,543,-5,63
29,5_5,tram,543,-5,58
30,5_6,tram,543,-5,53
31,6_1,tram,642,1,54
32,6_2,tram,543,-5,49
33,6_3,tram,543,-5,44
34,6_4,tram,633,1,45
35,6_5,tram,642,1,46
36,6_6,tram,642,1,47
37,7_1,tram,651,1,48
38,7_2,tram,444,1,49
39,7_3,tram,642,1,50
40,7_4,tram,543,-5,45
41,7_5,tram,732,2,47
42,7_6,tram,444,1,48
43,8_1,tram,552,1,49
44,8_2,tram,543,-5,44
45,8_3,tram,642,1,45
46,8_4,tram,444,1,46
47,8_5,tram,642,1,47
48,8_6,tram,543,-5,42
49,9_1,tram,543,-5,37
50,9_2,tram,552,1,38
51,9_3,tram,543,-5,33
52,9_4,tram,552,1,34
53,9_5,tram,444,1,35
54,9_6,tram,633,1,36
55,10_1,tram,444,1,37
56,10_2,tram,552,1,38
57,10_3,tram,552,1,39
58,10_4,tram,633,1,40
59,10_5,tram,543,-5,35
60,10_6,tram,633,1,36
61,11_1,tram,543,-5,31
62,11_2,tram,543,-5,26
63,11_3,tram,543,-5,21
64,11_4,tram,543,-5,16
65,11_5,tram,543,-5,11
66,11_6,tram,552,1,12
67,12_1,tram,543,-5,7
68,12_2,tram,543,-5,2
69,12_3,tram,543,-5,-3
70,12_4,tram,732,2,-1
71,12_5,tram,543,-5,-6
72,12_6,tram,633,1,-5
