,Round,PlayerName,Group,Bonus,Result
0,0,tram,--,--,100
1,1_1,tram,831,10,110
2,1_2,tram,660,20,130
3,1_3,tram,822,10,140
4,1_4,tram,822,10,150
5,1_5,tram,831,10,160
6,1_6,tram,822,10,170
